# danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
6.800000000000000488e-01,8.770000000000000018e-01,5.000000000000000000e+00,-1.024099999999999966e+01,0.000000000000000000e+00,3.529999999999999805e-02,1.910000000000000031e-01,6.560000000000000076e-04,3.489999999999999769e-01,9.220000000000000417e-01,1.086740000000000066e+02,1.851070000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
6.879999999999999449e-01,5.689999999999999503e-01,1.000000000000000000e+01,-7.006999999999999673e+00,0.000000000000000000e+00,3.749999999999999861e-02,3.920000000000000151e-01,1.749999999999999982e-04,1.199999999999999956e-01,3.589999999999999858e-01,1.090409999999999968e+02,2.523730000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
2.969999999999999862e-01,9.729999999999999760e-01,1.000000000000000000e+00,-4.504999999999999893e+00,1.000000000000000000e+00,1.509999999999999953e-01,1.459999999999999926e-03,9.180000000000000382e-01,1.390000000000000124e-01,2.340000000000000135e-01,1.027570000000000050e+02,1.705200000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.699999999999999956e-01,5.649999999999999467e-01,6.000000000000000000e+00,-8.884000000000000341e+00,0.000000000000000000e+00,2.300000000000000100e-01,6.410000000000000142e-01,0.000000000000000000e+00,6.880000000000000004e-02,6.189999999999999947e-01,7.999299999999999500e+01,1.710000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.870000000000000329e-01,5.719999999999999529e-01,1.000000000000000000e+00,-7.516000000000000014e+00,1.000000000000000000e+00,2.220000000000000029e-01,1.449999999999999900e-01,0.000000000000000000e+00,7.530000000000000582e-02,6.470000000000000195e-01,1.551169999999999902e+02,1.794130000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
5.809999999999999609e-01,8.499999999999999778e-01,5.000000000000000000e+00,-3.450000000000000178e+00,0.000000000000000000e+00,7.340000000000000691e-02,1.849999999999999978e-01,4.600000000000000139e-04,1.489999999999999936e-01,3.569999999999999840e-01,1.520180000000000007e+02,1.788090000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.740000000000000213e-01,8.529999999999999805e-01,1.000000000000000000e+00,-6.932999999999999829e+00,1.000000000000000000e+00,2.459999999999999964e-01,2.750000000000000014e-02,0.000000000000000000e+00,8.759999999999999731e-02,6.189999999999999947e-01,1.230409999999999968e+02,1.060000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
9.010000000000000231e-01,6.530000000000000249e-01,1.000000000000000000e+00,-6.198999999999999844e+00,1.000000000000000000e+00,3.079999999999999960e-01,4.660000000000000253e-01,0.000000000000000000e+00,2.099999999999999922e-01,5.510000000000000453e-01,1.329790000000000134e+02,1.739870000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
6.570000000000000284e-01,3.330000000000000182e-01,8.000000000000000000e+00,-1.355300000000000082e+01,1.000000000000000000e+00,5.260000000000000231e-01,6.079999999999999988e-02,0.000000000000000000e+00,1.570000000000000007e-01,3.130000000000000004e-01,1.481680000000000064e+02,9.861500000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+00
7.489999999999999991e-01,8.389999999999999680e-01,6.000000000000000000e+00,-4.847000000000000419e+00,1.000000000000000000e+00,2.969999999999999862e-01,8.669999999999999929e-02,0.000000000000000000e+00,2.039999999999999869e-01,8.040000000000000480e-01,1.720680000000000121e+02,1.110000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e-01,7.720000000000000195e-01,1.000000000000000000e+01,-8.705999999999999517e+00,0.000000000000000000e+00,1.570000000000000007e-01,2.059999999999999887e-01,0.000000000000000000e+00,7.480000000000000537e-02,5.610000000000000542e-01,1.399799999999999898e+02,2.244960000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.800000000000000266e-01,5.510000000000000453e-01,5.000000000000000000e+00,-1.303800000000000026e+01,0.000000000000000000e+00,6.250000000000000000e-02,6.130000000000000032e-02,1.039999999999999952e-01,3.309999999999999748e-02,9.689999999999999725e-01,1.260090000000000003e+02,4.919330000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.950000000000000178e-01,4.789999999999999813e-01,1.100000000000000000e+01,-9.070999999999999730e+00,0.000000000000000000e+00,2.730000000000000204e-01,2.079999999999999905e-01,0.000000000000000000e+00,9.020000000000000240e-02,7.189999999999999725e-01,1.460490000000000066e+02,1.345540000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
6.660000000000000364e-01,5.889999999999999680e-01,0.000000000000000000e+00,-8.404999999999999361e+00,0.000000000000000000e+00,3.240000000000000102e-01,5.550000000000000488e-01,0.000000000000000000e+00,1.140000000000000041e-01,7.760000000000000231e-01,7.497400000000000375e+01,1.460530000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
4.520000000000000129e-01,9.619999999999999662e-01,1.100000000000000000e+01,-3.063000000000000167e+00,0.000000000000000000e+00,8.309999999999999332e-02,9.010000000000000647e-03,0.000000000000000000e+00,6.500000000000000222e-02,5.659999999999999476e-01,1.640320000000000107e+02,2.088270000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
5.310000000000000275e-01,8.030000000000000471e-01,8.000000000000000000e+00,-3.928999999999999826e+00,0.000000000000000000e+00,3.390000000000000235e-01,3.250000000000000111e-01,0.000000000000000000e+00,3.679999999999999938e-01,4.139999999999999791e-01,9.751000000000000512e+01,1.911330000000000000e+05,5.000000000000000000e+00,1.000000000000000000e+00
6.079999999999999849e-01,4.709999999999999742e-01,0.000000000000000000e+00,-8.663999999999999702e+00,1.000000000000000000e+00,9.450000000000000067e-02,4.460000000000000075e-01,3.629999999999999973e-06,3.689999999999999947e-01,6.820000000000000506e-01,7.070199999999999818e+01,1.658000000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
7.840000000000000302e-01,6.999999999999999556e-01,7.000000000000000000e+00,-7.649000000000000021e+00,0.000000000000000000e+00,1.079999999999999988e-01,4.909999999999999920e-01,0.000000000000000000e+00,1.079999999999999988e-01,7.690000000000000169e-01,8.202800000000000580e+01,1.900670000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
7.980000000000000426e-01,7.459999999999999964e-01,1.000000000000000000e+01,-8.638999999999999346e+00,1.000000000000000000e+00,3.130000000000000143e-02,3.039999999999999994e-02,3.609999999999999876e-01,7.030000000000000138e-02,9.649999999999999689e-01,1.285529999999999973e+02,6.552130000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
2.909999999999999809e-01,9.799999999999999822e-01,1.000000000000000000e+00,-5.137999999999999901e+00,1.000000000000000000e+00,1.529999999999999971e-01,1.270000000000000078e-03,9.099999999999999756e-02,1.019999999999999934e-01,2.570000000000000062e-01,7.979200000000000159e+01,2.709200000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
7.149999999999999689e-01,6.820000000000000506e-01,7.000000000000000000e+00,-7.714000000000000412e+00,1.000000000000000000e+00,1.000000000000000056e-01,3.250000000000000111e-01,4.199999999999999598e-06,9.279999999999999361e-02,1.360000000000000098e-01,1.030370000000000061e+02,2.300130000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
7.970000000000000417e-01,4.680000000000000271e-01,2.000000000000000000e+00,-9.279999999999999361e+00,0.000000000000000000e+00,2.779999999999999832e-02,5.999999999999999778e-01,2.979999999999999929e-05,6.230000000000000121e-02,6.280000000000000027e-01,1.086280000000000001e+02,2.484400000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,4.739999999999999769e-01,1.000000000000000000e+00,-8.240000000000000213e+00,1.000000000000000000e+00,2.760000000000000231e-01,2.999999999999999889e-01,1.069999999999999920e-06,1.130000000000000032e-01,5.580000000000000515e-01,1.380269999999999868e+02,1.464800000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.259999999999999565e-01,5.560000000000000497e-01,5.000000000000000000e+00,-8.516000000000000014e+00,0.000000000000000000e+00,1.910000000000000031e-01,6.840000000000000524e-01,0.000000000000000000e+00,1.189999999999999947e-01,5.909999999999999698e-01,1.500670000000000073e+02,1.870060000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
3.920000000000000151e-01,5.360000000000000181e-02,4.000000000000000000e+00,-2.339900000000000091e+01,1.000000000000000000e+00,5.709999999999999798e-02,9.949999999999999956e-01,8.669999999999999929e-01,8.079999999999999682e-02,4.170000000000000095e-02,7.128600000000000136e+01,2.344670000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
